text,true,pred,conf_pred
fantastic teacher has me all fired up for learnin,neutral,positive,0.9929813192747438
i am project manager product manager and development experience as well i want to learn new ai tool where i can develop my own products without any other support,neutral,positive,0.9914924775028336
informative well presented to the point and it never dragged on nicely done,neutral,positive,0.9842464294507297
this is mad good but update is already possible a google extension for chat gpt to be real time traind,neutral,positive,0.9739934077248718
llms are fancy autocomplete,neutral,positive,0.9736555620108899
it is very thorough  stepby step doesnt overwhelm good examples,negative,positive,0.9733763130325781
i wasnt sure what to expect from this course i guess my expectations were to learn how to create my own llms and how they work under the hood the first half of this course really deep dives on using commercial llms and open source llms and how to interact with them with practical examples beginning week 5 is where the meat really begins to be able to train an llm to use your own data which is what i was hoping for i now understand a lot more about llms and how to use them in more practical way than asking for recipes and how to fix my horrible python,negative,positive,0.9694045658084933
its a great course but im not a huge fan of the labs already being resolved and the tutor just reading the ideas,negative,positive,0.9682538948149503
the examples are good but seems repetitive,negative,positive,0.9652699830242546
very good teacher and motivator he desrve 5  satr ranking but unfortunately this course has only 5,negative,positive,0.95983237509251
yes but paying for chat gpt mid journey doesnt quiet help,negative,positive,0.9580107913249217
i already had a basic understanding of chatgpt but this course has really shown me what ai can do many thanks’ lads,neutral,positive,0.9502108821151182
i am a experienced software developer leaning llms and ai this course is taking me to a really next level of my understanding leaning how to use models opensource working with rags vectorizing knowledge and so on,neutral,positive,0.9480292581051822
only partway through so grain of salt etc ive found this is a useful course as someone new to ai coding and ides etc – but ive worked in traditional development for years and have some history with handrolled react so i just want to advise that there are many subtle errors throughout the narration i havent seen anything breaking or major so far but lots of little tidbits that betray some misunderstanding of htmlcssjs so just approach that content with healthy skepticism or feel encouraged to doublecheck the content if you are hitting walls – thats all,negative,positive,0.944335224769684
le cours est vraiment intéressant il médifie beaucoup le champ de connaissance est vaste mais très instructif car il aborde une multitude de questionnements ou sujets abordés dans un projet dia,positive,neutral,0.9436510987489145
this course provided me with a deeper understanding of how ai works under the hood key concepts include tools structures and others highly reccommed it,neutral,positive,0.9394512595407325
its really understanding,neutral,positive,0.9363077737137647
no sure yet,neutral,negative,0.9345796354715951
no this was not a course that pertained to my career field or that i was interested in,positive,negative,0.9336353814487298
looking forward to learning and building with llms,neutral,positive,0.9314873937271213
it was exceptional way to learn agentic ai he gave base building block my next is to apply and create more agentic ai in my organisation,negative,positive,0.9223924678708683
no need to read the entire complete response read just a sentence—not paragraphs please,neutral,negative,0.9162308107406373
the way of explaining is way too complicated and not easy to understand,negative,positive,0.9133317430717356
as someone who is fairly new to both programming and using ai i learned so much about both from this course it thoroughly deepened my understanding of the capabilities of ai the teaching style was incredible and the responsiveness of the instructor is unlike anything i have seen on any other udemy course ed should be held up as the model of how to teach courses on online platforms,neutral,positive,0.9103494469895163
the way you teach is just marvellousamazing one who is completely beginner can understand the topics from basics i was completely stuck and due to your thorough understanding by giving examples i am able to get it knowthanks a lot sir ,neutral,positive,0.9050099167947848
great information but not really useful for my job,negative,positive,0.9008758598540484
muy claro y con conceptos fáciles de entender para una persona sin conocimiento del tema,negative,neutral,0.8881734208396846
it is astoundingly more than the expectations,positive,neutral,0.8880990095645923
hi krish i am having difficulty running airflow on my system do you have any idea how to figure it out,negative,neutral,0.8874813785819388
over het algemeen ben ik erg tevreden want ik heb veel bijgeleerd het was een waardevolle ervaring en ik voel me nu beter uitgerust om bepaalde vaardigheden toe te passen in de praktijk,positive,neutral,0.8774293262814382
very misleading they didnt write any code or really build any agent it feels like the entire course is a presentation,negative,positive,0.8754263578462665
hasta el momento me ha gustado es práctico y las explicaciones de ed me agradan mucho ya que van al punto y es fácil de entender,positive,neutral,0.8750309298670865
this course inspires to try new stuff to dig deeper and discover,positive,neutral,0.8704681106813869
por ser el segundo curso de ia que hago me resultó super dificil pero voy a hacer otros cursos introductorios y luego voy a volver a realizar este curso para entender mejor los conceptos,positive,neutral,0.8700557068353757
good course i knew very little about ai before watching this course theres a massive amount of exposure to all things ai i did find the large amount of recent updates frustrating i was exciting about the section on how gpt and transformer work but simply reading text  the same text in the downloadable pdf  kind of killed the credibility of the publishers and as the modules went on and on the tutorial felt like an ai infomerical,negative,positive,0.8674476004422206
excelent course with a lot of information and very easygoing,positive,neutral,0.8659166197887004
lovely,positive,neutral,0.8644176643985501
the course is just fab,positive,neutral,0.8644176643985501
to be determined,positive,neutral,0.8644176643985501
i’m hungry for the nuts and bolts,negative,neutral,0.8644176643985501
gg,positive,neutral,0.8644176643985501
the amount of repetition is too excessive i was already bored in the first week by so many repetitions but on the week 7 its really crazy its like there was a need to fill in some extra hours of content,negative,positive,0.860817640503034
so far it is pretty good but i cant really say anything since i am just starting the course i only took away half a star because the voices of the instructors are a bit annoying from my own perspectives and i got a bit tired of it and found it a bit repetitive like my use of the word and,negative,positive,0.856473278078754
course guides about llm in simplest way stepwise to get the intuition,neutral,positive,0.8531091742219395
broadly covers many different concepts processes methods and take aways for pms working in the ai  data science field,neutral,positive,0.8509281964124235
this is absolutely horrible and pointless explaining very basic stuffs which is there in youtube and it seems the anchor is reading through scripts,negative,neutral,0.8484547665544181
it was quite an introduction to llm for one day,neutral,positive,0.8263808967541274
